RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,8.87081262,0.89852892,9.75593659,8.84684568,3000,3009.43813050
2,19.00916806,0.91298862,19.95385183,19.04476092,3000,3004.24996187
3,4.96124517,0.88650448,5.88353402,4.97444311,3000,3042.86020954
4,7.47743837,0.91656671,8.27563894,7.36654804,3000,2968.65035374
5,5.43009291,0.88614999,6.35363907,5.44454816,3000,3017.72436188
6,9.53459621,0.92213823,10.03757023,9.12847932,3000,2895.80187097
7,8.68585823,0.92452425,9.65819508,8.74910417,3000,3004.53853570
8,6.28483229,0.90484469,7.21204071,6.30294980,3000,2998.10223780
9,6.55216767,0.87895927,7.49557442,6.58648351,3000,3071.28519886
10,9.04203653,0.90093285,10.02355281,9.11446190,3000,3023.00784824
