Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),8.58482481,3.99444983,5.72756605,11.44208356,5.71451751
Utilization(rho),0.90321380,0.01589754,0.89184218,0.91458542,0.02274324
AvgDelay(W),9.46495337,3.99519582,6.60716101,12.32274573,5.71558473
AvgWait(Wq),8.55586246,3.99519582,5.69807010,11.41365482,5.71558473
rho(theory),0.90909091,,,,
L(theory),10.00000000,,,,
W(theory),10.00000000,,,,
Wq(theory),9.09090909,,,,
Lq(theory),9.09090909,,,,
