Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),0.24396904,0.02093936,0.22899096,0.25894711,0.02995615
Utilization(rho),0.38769698,0.00686982,0.38278295,0.39261101,0.00982806
AvgDelay(W),0.90147654,0.03532494,0.87620836,0.92674473,0.05053637
AvgWait(Wq),0.34592099,0.03532494,0.32065280,0.37118917,0.05053637
rho(theory),0.38888889,,,,
L(theory),0.63636364,,,,
W(theory),0.90909091,,,,
Wq(theory),0.35353535,,,,
Lq(theory),0.24747475,,,,
