RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.26046358,0.39982485,0.93607965,0.38052409,10000,14168.21668884
2,0.24361099,0.38526921,0.90002052,0.34446496,10000,14311.06923963
3,0.24303294,0.38776208,0.90347289,0.34791734,10000,14322.68318491
4,0.24845961,0.39146034,0.91028568,0.35473012,10000,14227.58612841
5,0.25455364,0.38982476,0.92053911,0.36498355,10000,14284.30526239
6,0.24963944,0.38937189,0.90271923,0.34716368,10000,14127.61181926
7,0.28071003,0.40417750,0.95664836,0.40109281,10000,13967.85067372
8,0.24621256,0.38753642,0.90580687,0.35025131,10000,14292.40184963
9,0.24980467,0.38504487,0.91436713,0.35881158,10000,14402.34037046
10,0.26856576,0.39145219,0.94073798,0.38518243,10000,14252.58494012
