Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),2.72202823,0.40004830,2.43587079,3.00818566,0.57231487
Utilization(rho),0.78115625,0.01713395,0.76890021,0.79341229,0.02451208
AvgDelay(W),4.98057073,0.55758038,4.58172947,5.37941200,0.79768253
AvgWait(Wq),3.86945962,0.55758038,3.47061836,4.26830088,0.79768253
rho(theory),0.77777778,,,,
L(theory),3.50000000,,,,
W(theory),5.00000000,,,,
Wq(theory),3.88888889,,,,
Lq(theory),2.72222222,,,,
