RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,3.08393212,0.78885404,5.51176674,4.40065563,7029,10000.29353840
2,2.69248005,0.77651345,4.90612963,3.79501852,7075,10000.11808792
3,2.67636698,0.77847519,4.95262914,3.84151803,6976,10000.12242098
4,3.06703342,0.80499175,5.41494727,4.30383616,7170,10000.04267336
5,2.92847874,0.77351552,5.30046785,4.18935674,6985,10000.49038775
6,2.20943019,0.75513721,4.24946480,3.13835368,6977,10000.20727409
7,2.60001132,0.77928074,4.83302917,3.72191806,7021,10000.27305833
8,3.23474892,0.79479543,5.70263838,4.59152727,7067,10000.89691324
9,2.53664312,0.75548766,4.78326050,3.67214938,6883,10000.55209537
10,2.45317946,0.77555392,4.63741274,3.52630163,6955,10000.40198776
