RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.57541867,0.53756004,1.60114218,0.83191141,10000,14381.36859603
2,0.56952695,0.52605380,1.57882551,0.80959474,10000,14410.52998775
3,0.62582770,0.52879667,1.66628247,0.89705170,10000,14431.60447863
4,0.66019577,0.54017015,1.71051812,0.94128735,10000,14252.31149361
5,0.67406338,0.54334506,1.73334123,0.96411047,10000,14236.88588731
6,0.64880646,0.54469812,1.67763683,0.90840606,10000,14054.39488202
7,0.72262097,0.55601990,1.79189610,1.02266533,10000,14013.98551152
8,0.66062109,0.54543402,1.70972813,0.94049736,10000,14175.69169568
9,0.59756816,0.53154029,1.62917522,0.85994445,10000,14424.64934575
10,0.63804352,0.53587232,1.68274373,0.91351296,10000,14333.95655686
