RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.04225163,0.18350310,1.11628206,0.20719115,3000,14833.05229488
2,0.04089433,0.18698168,1.12862564,0.21953473,3000,14848.16876724
3,0.03537730,0.18395395,1.09049165,0.18140074,3000,14896.07991147
4,0.04413730,0.18624373,1.12776823,0.21867732,3000,14684.25958339
5,0.03740478,0.17778584,1.08102205,0.17193114,3000,15073.75464058
6,0.03856598,0.18357345,1.07135947,0.16226856,3000,14465.74639914
7,0.04041771,0.18105613,1.12297799,0.21388708,3000,15201.92714561
8,0.04196245,0.17995777,1.11370313,0.20461223,3000,15051.45167593
9,0.03904382,0.18186448,1.10820565,0.19911474,3000,15048.84022758
10,0.04183942,0.17701921,1.11345298,0.20436207,3000,15260.94728082
