RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.40399026,0.45817360,1.70631208,0.79722117,3000,5937.04473044
2,0.34035501,0.44996734,1.59512864,0.68603773,3000,6055.45368426
3,0.37652972,0.46498271,1.66447826,0.75538735,3000,5924.43850610
4,0.33158437,0.44706718,1.55606910,0.64697819,3000,5994.52212746
5,0.35273128,0.44513351,1.60203957,0.69294866,3000,6025.10683930
6,0.42347903,0.47272445,1.70310422,0.79401331,3000,5700.32029144
7,0.45508201,0.45906117,1.84173537,0.93264446,3000,6037.23474119
8,0.36236027,0.44659154,1.63000073,0.72090982,3000,6042.79414698
9,0.35540317,0.44886479,1.62374309,0.71465218,3000,6059.24350626
10,0.38799856,0.44874844,1.69435921,0.78526830,3000,6058.41374436
