RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,9.15420884,0.86817177,10.74152648,9.83243557,3000,3213.19054387
2,3.23533318,0.83045297,4.50204266,3.59295175,3000,3322.18961133
3,4.08003845,0.82023372,5.43780592,4.52871501,3000,3329.52319695
4,3.22412467,0.81327592,4.45884636,3.54975545,3000,3313.13030391
5,3.13715529,0.79029728,4.41213862,3.50304771,3000,3367.64669528
6,3.43617291,0.82126178,4.57590490,3.66681399,3000,3224.25355567
7,3.88371060,0.84114578,5.22267410,4.31358319,3000,3326.30703513
8,4.01207141,0.83569211,5.32134878,4.41225787,3000,3291.44511123
9,3.40762211,0.81027329,4.70589719,3.79680628,3000,3365.09004342
10,2.78693902,0.80476996,4.06204280,3.15295189,3000,3367.39148477
