Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),4.03573765,1.84525519,2.71581331,5.35566198,2.63984867
Utilization(rho),0.82355746,0.02173653,0.80800916,0.83910575,0.03109659
AvgDelay(W),5.34402278,1.94817975,3.95047576,6.73756979,2.78709403
AvgWait(Wq),4.43493187,1.94817975,3.04138486,5.82847889,2.78709403
rho(theory),0.81818182,,,,
L(theory),4.50000000,,,,
W(theory),5.00000000,,,,
Wq(theory),4.09090909,,,,
Lq(theory),3.68181818,,,,
