Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),0.80073500,0.07418261,0.74767164,0.85379836,0.10612672
Utilization(rho),0.57834982,0.00960846,0.57147682,0.58522283,0.01374601
AvgDelay(W),1.97464812,0.11117340,1.89512498,2.05417125,0.15904626
AvgWait(Wq),1.14131478,0.11117340,1.06179165,1.22083791,0.15904626
rho(theory),0.58333333,,,,
L(theory),1.40000000,,,,
W(theory),2.00000000,,,,
Wq(theory),1.16666667,,,,
Lq(theory),0.81666667,,,,
