RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.78877424,0.58015716,1.96201886,1.12868552,3489,5000.42015834
2,0.91118936,0.58534311,2.13018261,1.29684927,3515,5000.01537377
3,0.79862544,0.58489087,1.97611195,1.14277862,3500,5000.31719840
4,0.80690428,0.57816491,1.98219981,1.14886648,3500,5000.05697802
5,0.71540557,0.55712342,1.85732972,1.02399639,3433,5001.53250756
6,0.81621462,0.58689157,1.95132254,1.11798920,3591,5000.50387706
7,0.94062817,0.58814152,2.20491605,1.37158272,3467,5000.50249267
8,0.73570845,0.57127275,1.88897471,1.05564138,3465,5002.04749744
9,0.75124305,0.58090313,1.89481602,1.06148269,3514,5000.09920036
10,0.74265683,0.57060979,1.89860889,1.06527556,3460,5001.73087867
