RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,2.03447777,0.72749071,3.84638383,2.84638383,3000,4177.75270210
2,1.58465105,0.69266550,3.28040096,2.28040096,3000,4327.95831360
3,1.64590212,0.70847244,3.34137521,2.34137521,3000,4261.15089583
4,1.36458534,0.67764424,2.93932286,1.93932286,3000,4313.07639194
5,1.64858786,0.70061917,3.33277912,2.33277912,3000,4259.26484969
6,1.49932002,0.70306706,3.04335728,2.04335728,3000,4141.83318478
7,1.51729747,0.68718353,3.21767737,2.21767737,3000,4371.87936318
8,1.37292991,0.69516390,2.96107086,1.96107086,3000,4293.08640735
9,1.41977282,0.67697525,3.05542742,2.05542742,3000,4373.42177222
10,1.31412835,0.67210096,2.90619195,1.90619195,3000,4390.61896429
