Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),1.63463567,0.10870936,1.55687508,1.71239626,0.15552118
Utilization(rho),0.70316475,0.01384355,0.69326237,0.71306714,0.01980478
AvgDelay(W),3.33014829,0.14470950,3.22663654,3.43366004,0.20702350
AvgWait(Wq),2.33014829,0.14470950,2.22663654,2.43366004,0.20702350
rho(theory),0.70000000,,,,
L(theory),2.33333333,,,,
W(theory),3.33333333,,,,
Wq(theory),2.33333333,,,,
Lq(theory),1.63333333,,,,
