RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.00879588,0.09076767,0.98995614,0.08086523,3000,29826.71850512
2,0.00887463,0.09330417,1.01341162,0.10432071,3000,29726.53204854
3,0.00736681,0.09229323,0.98947648,0.08038557,3000,29742.68286400
4,0.01044875,0.09228618,1.01034294,0.10125203,3000,29502.37239622
5,0.00883546,0.08885564,0.98188489,0.07279398,3000,30153.10784580
6,0.00863270,0.09195649,0.96938206,0.06029115,3000,28904.50116348
7,0.01043600,0.09182815,1.02913648,0.12004557,3000,30189.96094647
8,0.00948585,0.08905009,0.99414552,0.08505461,3000,30258.48773047
9,0.00854089,0.09026731,0.99494570,0.08585479,3000,30206.33765672
10,0.00942583,0.08818062,0.99516020,0.08606929,3000,30580.43159032
