Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),0.00759988,0.00180404,0.00630944,0.00889032,0.00258088
Utilization(rho),0.08774349,0.00726489,0.08254686,0.09294012,0.01039326
AvgDelay(W),0.98641414,0.06574079,0.93938928,1.03343900,0.09404972
AvgWait(Wq),0.07732324,0.06574079,0.03029838,0.12434810,0.09404972
rho(theory),0.09090909,,,,
L(theory),0.10000000,,,,
W(theory),1.00000000,,,,
Wq(theory),0.09090909,,,,
Lq(theory),0.00909091,,,,
