RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,1.13382887,0.65607388,2.50270026,1.59360935,3000,4194.53704455
2,1.25154355,0.65165134,2.69748360,1.78839269,3000,4253.44820824
3,1.02671339,0.63786768,2.37444550,1.46535459,3000,4278.55310686
4,0.94239496,0.63217892,2.23641312,1.32732221,3000,4260.58740131
5,1.22440119,0.63241676,2.64404168,1.73495077,3000,4272.67965771
6,1.11211825,0.64068079,2.41854475,1.50945384,3000,4139.07599648
7,1.39172556,0.64974988,2.92068066,2.01158975,3000,4288.80003861
8,0.98352068,0.62783187,2.31583851,1.40674760,3000,4305.56822721
9,1.13167627,0.62493614,2.54068418,1.63159327,3000,4340.47194589
10,1.25391463,0.64890032,2.70466196,1.79557105,3000,4257.59027902
