Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),1.14518374,0.13860065,1.04604169,1.24432578,0.19828408
Utilization(rho),0.64022876,0.01088600,0.63244193,0.64801559,0.01557367
AvgDelay(W),2.53554942,0.20907834,2.38599418,2.68510466,0.29911049
AvgWait(Wq),1.62645851,0.20907834,1.47690327,1.77601375,0.29911049
rho(theory),0.63636364,,,,
L(theory),1.75000000,,,,
W(theory),2.50000000,,,,
Wq(theory),1.59090909,,,,
Lq(theory),1.11363636,,,,
