RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.02695450,0.16222789,0.95701579,0.04792488,989,5001.91500991
2,0.04069317,0.19222619,1.14838861,0.23929770,1017,5000.15396641
3,0.03260974,0.18471880,1.05607514,0.14698423,1030,5001.86740851
4,0.04573930,0.18094868,1.15109470,0.24200379,988,5015.49202307
5,0.04275580,0.17802375,1.13780121,0.22871030,971,5002.70042912
6,0.03258435,0.17772870,1.04168122,0.13259031,1011,5004.32045124
7,0.03420152,0.16729989,1.08481537,0.17572446,931,5001.74340437
8,0.03225147,0.16688431,1.04041366,0.13132275,959,5005.97527572
9,0.04097457,0.18643019,1.13589356,0.22680265,1003,5009.12097476
10,0.04096126,0.17377710,1.12688388,0.21779297,955,5008.61019045
