RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,3.58930375,0.80871268,6.12271752,5.01160641,3000,4181.01260511
2,2.79864121,0.79250081,5.08837381,3.97726269,3000,4267.68855883
3,3.29134633,0.81057672,5.73782199,4.62671088,3000,4197.40106499
4,2.33518872,0.76023369,4.43258864,3.32147753,3000,4294.26980522
5,2.26732657,0.75693697,4.35404777,3.24293666,3000,4314.54913373
6,2.40617509,0.79273635,4.40782160,3.29671049,3000,4105.39338044
7,2.81282497,0.77041558,5.20436698,4.09325587,3000,4354.43075866
8,2.98689435,0.78603918,5.35406007,4.24294896,3000,4255.61543769
9,2.47086427,0.77847513,4.65648148,3.54537037,3000,4300.49253568
10,2.19085711,0.75374021,4.29961834,3.18850723,3000,4364.00982016
