RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,8.33611195,0.91808223,9.26936367,8.36027276,9996,10000.31527017
2,11.25573816,0.91191453,12.15067336,11.24158246,10055,10000.42774385
3,6.05278458,0.88696694,7.02996784,6.12087693,9872,10000.13588507
4,10.73209291,0.92468399,11.55522074,10.64612983,10089,10001.08705948
5,9.08087277,0.92266872,9.94863654,9.03954563,10054,10000.15303743
6,7.75256968,0.90662066,8.60896731,7.69987640,10108,10000.10794681
7,8.47221059,0.91133612,9.33641496,8.42732405,10036,10000.42993648
8,7.08362546,0.90675337,7.99082231,7.08173140,10001,10000.64028783
9,8.35776235,0.90905964,9.28668600,8.37759509,9954,10001.25131308
10,9.11114087,0.90547417,10.04840785,9.13931694,9970,10001.55602866
