RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.29582654,0.41646752,1.00521006,0.41697476,3000,4233.49229933
2,0.27060370,0.41471720,0.97918494,0.39094965,3000,4288.71782319
3,0.29141193,0.42153554,1.00692854,0.41869325,3000,4230.26380908
4,0.25207836,0.40690203,0.93846103,0.35022573,3000,4271.80272405
5,0.30409625,0.41015319,1.01579249,0.42755720,3000,4267.69694536
6,0.28708102,0.41608024,0.96849488,0.38025958,3000,4131.41905182
7,0.30201514,0.41329895,1.03270657,0.44447128,3000,4325.64367956
8,0.25588693,0.40176094,0.94963762,0.36140233,3000,4330.94494588
9,0.27270254,0.40374827,0.97890562,0.39067033,3000,4343.14276114
10,0.34484023,0.40822738,1.08587563,0.49764033,3000,4320.41495067
