RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.75278085,0.55117608,2.15286670,1.24377579,3000,4941.14938733
2,0.52598377,0.53196322,1.79276261,0.88367170,3000,5083.83422100
3,0.63647773,0.54570517,1.96934395,1.06025304,3000,4996.54036416
4,0.48392925,0.52490923,1.69824922,0.78915831,3000,5049.10580597
5,0.65635320,0.53626066,1.99352004,1.08442913,3000,5006.09989455
6,0.64657442,0.54739986,1.92516915,1.01607824,3000,4836.65497881
7,0.91420726,0.56242172,2.45279319,1.54370228,3000,4978.83112045
8,0.56558014,0.53187633,1.84879123,0.93970032,3000,5056.44130172
9,0.65633537,0.54417036,2.00969687,1.10060596,3000,5024.03115649
10,0.65557448,0.53850418,2.01046660,1.10137570,3000,5052.27248827
