RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.60166703,0.51518868,1.56164701,0.84736129,3000,4194.17033550
2,0.41247140,0.49094188,1.30776204,0.59347632,3000,4342.95095669
3,0.48264764,0.49967849,1.40415667,0.68987096,3000,4281.56711061
4,0.43255856,0.49388027,1.31962642,0.60534071,3000,4272.72681445
5,0.47299944,0.48760769,1.38059634,0.66631063,3000,4312.60722865
6,0.49413807,0.50485976,1.37646104,0.66217532,3000,4133.00196718
7,0.51506273,0.49747131,1.46813533,0.75384961,3000,4344.82425649
8,0.49843045,0.48987065,1.42477650,0.71049079,3000,4321.82855639
9,0.51615964,0.50207326,1.45625714,0.74197143,3000,4292.21587538
10,0.54131683,0.50407854,1.49299836,0.77871264,3000,4285.39347786
