Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),0.49674518,0.05343939,0.45851960,0.53497076,0.07645116
Utilization(rho),0.49856505,0.00841181,0.49254803,0.50458208,0.01203405
AvgDelay(W),1.41924168,0.07846642,1.36311409,1.47536928,0.11225519
AvgWait(Wq),0.70495597,0.07846642,0.64882838,0.76108356,0.11225519
rho(theory),0.50000000,,,,
L(theory),1.00000000,,,,
W(theory),1.42857143,,,,
Wq(theory),0.71428571,,,,
Lq(theory),0.50000000,,,,
