RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.34097417,0.44231049,1.11017286,0.48517286,3528,5000.14455592
2,0.32294784,0.43911167,1.08456207,0.45956207,3516,5000.00983540
3,0.32493180,0.44307020,1.09062523,0.46562523,3523,5000.24467486
4,0.34826329,0.43894464,1.11967732,0.49467732,3516,5000.46335548
5,0.33802493,0.42652806,1.10187239,0.47687239,3473,5004.93342565
6,0.33137323,0.43891498,1.07357720,0.44857720,3589,5001.51866988
7,0.41410804,0.44376978,1.23383632,0.60883632,3480,5000.10039142
8,0.32639353,0.42569441,1.08996401,0.46496401,3451,5000.32205599
9,0.33311194,0.43706899,1.09269371,0.46769371,3524,5000.00703276
10,0.36370738,0.43110612,1.14710800,0.52210800,3475,5001.82602092
