RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.26383736,0.39255366,0.93075077,0.37519522,3523,5000.03609444
2,0.22789200,0.38979697,0.87992510,0.32436955,3513,5000.36781923
3,0.22727434,0.39447674,0.88254327,0.32698772,3529,5002.19136200
4,0.23484210,0.38446787,0.88718333,0.33162777,3497,5001.46730012
5,0.22723124,0.37438326,0.87304602,0.31749046,3447,5001.80312036
6,0.24081869,0.38898811,0.87932337,0.32376781,3584,5003.26145172
7,0.27429796,0.39181295,0.96175730,0.40620175,3468,5001.80820921
8,0.23022295,0.37791898,0.88188004,0.32632448,3450,5001.96675288
9,0.22735703,0.38184774,0.87247852,0.31692296,3492,5000.89776598
10,0.28365936,0.38778163,0.96505140,0.40949584,3496,5002.42798141
