Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),1.12986682,0.11617472,1.04676620,1.21296743,0.16620122
Utilization(rho),0.63792529,0.01003864,0.63074458,0.64510600,0.01436143
AvgDelay(W),2.51601938,0.17529904,2.39062672,2.64141204,0.25078533
AvgWait(Wq),1.60692847,0.17529904,1.48153581,1.73232114,0.25078533
rho(theory),0.63636364,,,,
L(theory),1.75000000,,,,
W(theory),2.50000000,,,,
Wq(theory),1.59090909,,,,
Lq(theory),1.11363636,,,,
