RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,1.10717257,0.65214901,2.47458707,1.56549616,3555,5000.14879486
2,1.22866676,0.64696506,2.65423721,1.74514630,3536,5001.95908420
3,1.04445837,0.64063657,2.39997796,1.49088705,3512,5001.13341372
4,1.01134648,0.62881712,2.34797006,1.43887915,3493,5000.00710814
5,1.19600992,0.63241350,2.60730650,1.69821559,3498,5000.87425076
6,1.07270993,0.63376696,2.38638342,1.47729251,3576,5000.38492139
7,1.33884417,0.64045238,2.85924330,1.95015239,3464,5001.21998706
8,0.95451902,0.62024649,2.28289415,1.37380324,3454,5000.99169598
9,1.12686015,0.63370575,2.50282030,1.59372939,3517,5000.25609380
10,1.21808081,0.65010007,2.64477383,1.73568292,3538,5000.71480658
