RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.21324117,0.37649054,1.45868826,0.54959735,4050,10001.85587508
2,0.16608429,0.35494525,1.30756224,0.39847133,3983,10000.39729562
3,0.20107656,0.36446672,1.42088566,0.51179475,3979,10000.28896630
4,0.21059420,0.37537642,1.44567397,0.53658306,4052,10000.02555574
5,0.20119709,0.35689959,1.39705722,0.48796631,3996,10000.41721837
6,0.19352236,0.35548512,1.36601484,0.45692393,4020,10001.36571895
7,0.23279732,0.37578001,1.50905172,0.59996081,4033,10000.17502553
8,0.21650138,0.36030279,1.44714382,0.53805291,3987,10002.20734606
9,0.17776971,0.35411998,1.35047256,0.44138166,3940,10002.61076005
10,0.22957590,0.36858882,1.48041887,0.57132796,4041,10000.06972705
