Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),0.20224365,0.02369354,0.18529548,0.21919181,0.03389633
Utilization(rho),0.36286447,0.00796671,0.35716582,0.36856312,0.01139729
AvgDelay(W),1.41469023,0.06839782,1.36576478,1.46361569,0.09785091
AvgWait(Wq),0.50559932,0.06839782,0.45667387,0.55452478,0.09785091
rho(theory),0.36363636,,,,
L(theory),0.57142857,,,,
W(theory),1.42857143,,,,
Wq(theory),0.51948052,,,,
Lq(theory),0.20779221,,,,
