Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),0.63190866,0.07853707,0.57573052,0.68808679,0.11235627
Utilization(rho),0.53596029,0.00829877,0.53002412,0.54189646,0.01187234
AvgDelay(W),1.66783250,0.11836640,1.58316416,1.75250084,0.16933668
AvgWait(Wq),0.89860173,0.11836640,0.81393339,0.98327007,0.16933668
rho(theory),0.53846154,,,,
L(theory),1.16666667,,,,
W(theory),1.66666667,,,,
Wq(theory),0.89743590,,,,
Lq(theory),0.62820513,,,,
