RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.65260008,0.54489169,1.69953795,0.93030718,3532,5000.76701840
2,0.53187899,0.53324282,1.52496379,0.75573302,3490,5000.02265215
3,0.65639236,0.54010912,1.70909378,0.93986301,3501,5000.01540383
4,0.56110299,0.52648032,1.56463662,0.79540585,3476,5001.19398362
5,0.70186483,0.53610431,1.76714039,0.99790962,3512,5005.15879430
6,0.63768241,0.54383449,1.64164393,0.87241316,3599,5000.10883948
7,0.76130916,0.53600137,1.88137889,1.11214812,3449,5000.69495682
8,0.50848916,0.51800336,1.49468712,0.72545635,3437,5003.31146094
9,0.62563571,0.54095707,1.65059552,0.88136475,3534,5001.22810743
10,0.68213086,0.53997830,1.74464700,0.97541623,3503,5000.34098145
