Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),0.33786911,0.03129072,0.31548663,0.36025159,0.04476496
Utilization(rho),0.43589544,0.00650558,0.43124195,0.44054893,0.00930698
AvgDelay(W),1.10432992,0.05125750,1.06766506,1.14099477,0.07332971
AvgWait(Wq),0.47932992,0.05125750,0.44266506,0.51599477,0.07332971
rho(theory),0.43750000,,,,
L(theory),0.77777778,,,,
W(theory),1.11111111,,,,
Wq(theory),0.48611111,,,,
Lq(theory),0.34027778,,,,
