RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.33816463,0.44080960,1.10142361,0.47642361,3000,4241.62619217
2,0.30303632,0.43675464,1.06204038,0.43704038,3000,4307.18488198
3,0.32542631,0.44253024,1.09123106,0.46623106,3000,4255.91068358
4,0.31053029,0.43515317,1.05850026,0.43350026,3000,4257.99939170
5,0.33941838,0.42738248,1.10111047,0.47611047,3000,4308.88292061
6,0.33801376,0.44202356,1.07444966,0.44944966,3000,4131.71421839
7,0.41391818,0.44454201,1.23163236,0.60663236,3000,4299.11833216
8,0.31825044,0.42699197,1.07597650,0.45097650,3000,4330.33002491
9,0.33192304,0.43320934,1.10188414,0.47688414,3000,4322.13230371
10,0.36000976,0.42955742,1.14505072,0.52005072,3000,4339.31439948
