RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,2.43952570,0.76092117,3.88463833,2.97554742,3000,3641.24461806
2,1.76473870,0.71416138,3.14069455,2.23160364,3000,3800.06358187
3,1.75509233,0.71923426,3.11606820,2.20697729,3000,3764.90723199
4,1.61345815,0.71374870,2.91246432,2.00337341,3000,3747.92847637
5,3.02159044,0.75262776,4.60820903,3.69911812,3000,3663.37265542
6,1.51237942,0.70528738,2.73072496,1.82163405,3000,3688.02363640
7,2.03533031,0.73485481,3.48638974,2.57729883,3000,3770.90094349
8,1.46156104,0.70664174,2.74596302,1.83687211,3000,3797.32270926
9,2.14330320,0.74832690,3.57443567,2.66534476,3000,3711.20978553
10,1.72694476,0.70072587,3.10284397,2.19375307,3000,3834.60064771
