Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),1.94739240,0.48280777,1.60203653,2.29274828,0.69071175
Utilization(rho),0.72565300,0.02181432,0.71004906,0.74125694,0.03120787
AvgDelay(W),3.33024318,0.58055692,2.91496663,3.74551972,0.83055309
AvgWait(Wq),2.42115227,0.58055692,2.00587572,2.83642882,0.83055309
rho(theory),0.72727273,,,,
L(theory),2.66666667,,,,
W(theory),3.33333333,,,,
Wq(theory),2.42424242,,,,
Lq(theory),1.93939394,,,,
