Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),0.09497044,0.00826729,0.08905678,0.10088409,0.01182731
Utilization(rho),0.26783561,0.01152935,0.25958858,0.27608263,0.01649405
AvgDelay(W),1.22126295,0.03916353,1.19324899,1.24927690,0.05602791
AvgWait(Wq),0.31217204,0.03916353,0.28415808,0.34018599,0.05602791
rho(theory),0.27272727,,,,
L(theory),0.37500000,,,,
W(theory),1.25000000,,,,
Wq(theory),0.34090909,,,,
Lq(theory),0.10227273,,,,
