RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.07838209,0.25120999,1.12005648,0.21096557,1472,5001.66364052
2,0.08802002,0.27309546,1.22257468,0.31348377,1480,5000.58192336
3,0.10662810,0.28793203,1.24798413,0.33889322,1590,5008.14734304
4,0.10095434,0.26929564,1.25168705,0.34259615,1483,5000.56878524
5,0.10384530,0.26433815,1.24515059,0.33605968,1479,5000.83163180
6,0.09520971,0.28053582,1.19568841,0.28659750,1572,5000.60881454
7,0.09057113,0.25665704,1.22185487,0.31276396,1424,5000.02419457
8,0.09623871,0.26810850,1.23828588,0.32919497,1472,5000.36458833
9,0.09810216,0.27230015,1.23943904,0.33034813,1495,5002.01547512
10,0.09175279,0.25488327,1.22990834,0.32081743,1410,5001.03025392
