RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,7.10750960,0.84801727,8.64064919,7.73155828,4607,5001.03988815
2,3.14005796,0.81790997,4.41462487,3.50553396,4484,5000.08613028
3,4.81236464,0.82748406,6.23409183,5.32500092,4524,5000.40349734
4,3.88294297,0.82029838,5.24485810,4.33576719,4472,5000.49844214
5,4.10055577,0.80967762,5.45618355,4.54709264,4488,5000.17193972
6,3.22672261,0.81932412,4.40671877,3.49762786,4591,5000.11872248
7,3.41654006,0.81870458,4.72218119,3.81309028,4450,5001.04988597
8,3.80669613,0.82520175,5.13702613,4.22793523,4500,5000.54603259
9,3.76496765,0.81764511,5.06093196,4.15184105,4481,5000.11795944
10,3.25973465,0.81390173,4.56819031,3.65909940,4478,5000.39631291
