RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.22867829,0.37599621,1.49583949,0.58674858,10000,24723.04641844
2,0.19611205,0.35888171,1.39262408,0.48353317,10000,25091.85005275
3,0.20555539,0.36445455,1.42505512,0.51596421,10000,25000.21167888
4,0.21272901,0.36743716,1.44150636,0.53241545,10000,24850.60687187
5,0.19816005,0.35966228,1.40391171,0.49482080,10000,25165.13847725
6,0.20922744,0.36422605,1.41742923,0.50833832,10000,24718.58409225
7,0.23373924,0.37597686,1.49432583,0.58523492,10000,24508.34470504
8,0.21640553,0.36614187,1.44956696,0.54047605,10000,24882.47662301
9,0.20110290,0.35959722,1.41411943,0.50502853,10000,25219.57368073
10,0.21106423,0.36072319,1.43667762,0.52758671,10000,25124.88363565
