RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.09865077,0.27150093,1.22859534,0.31950443,3000,9956.92196426
2,0.08952407,0.27423770,1.21478101,0.30569010,3000,10011.58059074
3,0.10459001,0.28228223,1.26843263,0.35934172,3000,9814.65693246
4,0.10303224,0.27693387,1.24646286,0.33737195,3000,9828.76386188
5,0.09353273,0.26689034,1.20658465,0.29749374,3000,10045.43692730
6,0.09819839,0.27338972,1.19904835,0.28995744,3000,9678.67146913
7,0.10923871,0.27338677,1.28978064,0.38068974,3000,10099.56868891
8,0.10526319,0.27223011,1.25760029,0.34850938,3000,9991.99960165
9,0.09783849,0.26812090,1.23416396,0.32507306,3000,10119.89933772
10,0.09860640,0.26448747,1.23366137,0.32457046,3000,10194.28334251
