Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),0.40634846,0.02226181,0.39042443,0.42227249,0.03184806
Utilization(rho),0.46519258,0.00504527,0.46158366,0.46880149,0.00721784
AvgDelay(W),1.24439870,0.03872738,1.21669673,1.27210068,0.05540395
AvgWait(Wq),0.57773204,0.03872738,0.55003006,0.60543401,0.05540395
rho(theory),0.46666667,,,,
L(theory),0.87500000,,,,
W(theory),1.25000000,,,,
Wq(theory),0.58333333,,,,
Lq(theory),0.40833333,,,,
