RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.41561752,0.46932604,1.25947163,0.59280497,3513,5000.02373395
2,0.37004989,0.46210429,1.19088315,0.52421648,3490,5000.45644074
3,0.42408578,0.47431854,1.27438825,0.60772159,3530,5000.72726608
4,0.39848402,0.45911928,1.22946656,0.56279989,3486,5000.45616865
5,0.40090816,0.46161818,1.23476549,0.56809882,3493,5000.13673840
6,0.40383210,0.46697079,1.21552561,0.54885894,3584,5002.22906300
7,0.43194852,0.46652170,1.30256973,0.63590306,3453,5000.83597076
8,0.38364450,0.45818660,1.21479088,0.54812421,3467,5001.49282504
9,0.39269049,0.46909569,1.21897663,0.55230996,3535,5000.00279282
10,0.44222362,0.46466465,1.30314912,0.63648245,3493,5000.45716616
