RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.58786621,0.51257598,1.54841577,0.83413006,3555,5001.58951329
2,0.46124633,0.49855470,1.37164872,0.65736300,3503,5002.14060880
3,0.49200032,0.50420549,1.41830202,0.70401631,3517,5000.56660532
4,0.46082140,0.49220005,1.36617561,0.65188989,3487,5000.81906185
5,0.46390883,0.48538510,1.37003953,0.65575381,3467,5003.29108557
6,0.47881951,0.49965513,1.36636518,0.65207946,3582,5001.45505291
7,0.50473688,0.49239295,1.45484942,0.74056370,3431,5000.81806383
8,0.53954088,0.49050106,1.48703862,0.77275291,3466,5000.78110984
9,0.50479604,0.50534790,1.42573504,0.71144933,3543,5000.49482909
10,0.51629912,0.49750879,1.45304102,0.73875531,3489,5000.12133045
