RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,2.21509919,0.74252118,3.68166741,2.77257650,8036,10000.76095714
2,1.63205569,0.70285306,2.95201368,2.04292277,7904,10000.04510692
3,1.73986509,0.71992470,3.08013402,2.17104311,7986,10000.31970319
4,1.99455159,0.73201172,3.38369628,2.47460537,8059,10000.15599860
5,2.36316310,0.74730730,3.85556513,2.94647422,8115,10000.89810578
6,1.65197660,0.71481240,2.96048265,2.05139174,7996,10000.03865303
7,2.08730149,0.74955924,3.47019618,2.56110527,8176,10001.03732569
8,2.03528700,0.74433972,3.44219672,2.53310582,8082,10001.39906307
9,1.81702563,0.71451275,3.18856224,2.27947133,7940,10000.48352069
10,1.72711751,0.72030867,3.09186018,2.18276927,7916,10000.62570051
