Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),1.91349172,0.37449174,1.64561508,2.18136836,0.53575328
Utilization(rho),0.72335625,0.02018638,0.70891679,0.73779572,0.02887893
AvgDelay(W),3.29670066,0.45379778,2.97209584,3.62130548,0.64920964
AvgWait(Wq),2.38760975,0.45379778,2.06300493,2.71221458,0.64920964
rho(theory),0.72727273,,,,
L(theory),2.66666667,,,,
W(theory),3.33333333,,,,
Wq(theory),2.42424242,,,,
Lq(theory),1.93939394,,,,
