Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),0.40189097,0.03638022,0.37586793,0.42791400,0.05204607
Utilization(rho),0.46519394,0.00668523,0.46041195,0.46997593,0.00956398
AvgDelay(W),1.23705527,0.05661405,1.19655884,1.27755171,0.08099287
AvgWait(Wq),0.57038861,0.05661405,0.52989217,0.61088504,0.08099287
rho(theory),0.46666667,,,,
L(theory),0.87500000,,,,
W(theory),1.25000000,,,,
Wq(theory),0.58333333,,,,
Lq(theory),0.40833333,,,,
