RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.41665013,0.46948273,1.25389552,0.58722886,3000,4244.86410582
2,0.34062417,0.45723382,1.15614642,0.48947976,3000,4347.49922192
3,0.41741513,0.47303507,1.26382359,0.59715693,3000,4251.28237212
4,0.34768701,0.45320944,1.15041438,0.48374772,3000,4308.70381679
5,0.40110416,0.46219296,1.23125261,0.56458594,3000,4279.62741502
6,0.42057219,0.47161559,1.22875742,0.56209075,3000,4131.17514161
7,0.44691462,0.47179363,1.32146007,0.65479340,3000,4310.08339214
8,0.38447545,0.46081757,1.21354962,0.54688295,3000,4305.46691178
9,0.39630031,0.46611603,1.23664813,0.56998146,3000,4303.55957281
10,0.44716649,0.46644254,1.31460496,0.64793829,3000,4300.34633185
