RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.36000976,0.44937531,1.61634280,0.70725189,2504,5000.20538723
2,0.34733888,0.44981146,1.61775869,0.70866778,2467,5000.91347631
3,0.36489671,0.45904194,1.63999029,0.73089938,2518,5002.25276177
4,0.30614364,0.44206646,1.49827807,0.58918716,2498,5001.44982280
5,0.35880246,0.44933567,1.63281676,0.72372585,2473,5000.13296755
6,0.41943330,0.47645690,1.70308520,0.79399429,2631,5000.78172235
7,0.46391378,0.45692020,1.86231612,0.95322521,2475,5000.18634317
8,0.37223321,0.44293079,1.65919713,0.75010622,2459,5003.03355557
9,0.35093236,0.44888694,1.62739077,0.71829986,2458,5001.03362902
10,0.38389750,0.44492312,1.69847255,0.78938164,2452,5005.00697127
