RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.29440366,0.41695278,1.00740084,0.41916555,3530,5000.39020347
2,0.27301025,0.41346982,0.97742197,0.38918667,3518,5004.99354682
3,0.28256582,0.41886200,0.99506076,0.40682547,3532,5003.68645019
4,0.26812349,0.40705581,0.96633738,0.37810209,3494,5000.20356159
5,0.29998951,0.40921217,1.01269325,0.42445795,3500,5000.68403978
6,0.27944048,0.41305690,0.96509665,0.37686136,3588,5000.13090849
7,0.31325459,0.41279851,1.05129073,0.46305543,3457,5000.16627283
8,0.25176963,0.39854827,0.94444983,0.35621453,3442,5000.14667606
9,0.26816108,0.40527966,0.96362252,0.37538723,3496,5002.21122834
10,0.33881913,0.40633401,1.07375361,0.48551831,3476,5001.53397518
