RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,2.00584241,0.72742556,3.82208997,2.82208997,3577,5001.80946947
2,1.61549676,0.69343798,3.30368746,2.30368746,3490,5000.46503072
3,1.70892037,0.71884356,3.42549200,2.42549200,3544,5000.02296127
4,1.39936717,0.67162995,3.00431165,2.00431165,3447,5001.94938865
5,1.64383088,0.71032459,3.31916812,2.31916812,3541,5000.93589357
6,1.44398793,0.69964445,2.99449892,1.99449892,3584,5002.78513556
7,1.56128285,0.68967148,3.28475056,2.28475056,3433,5000.35377951
8,1.52670864,0.70672813,3.16294136,2.16294136,3503,5000.70123157
9,1.41876634,0.68483760,3.01727764,2.01727764,3483,5000.01261722
10,1.29286451,0.67292762,2.86554243,1.86554243,3428,5000.41682997
