RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.77214484,0.55303882,2.18525444,1.27616353,3037,5000.00820619
2,0.52728187,0.53159905,1.79709381,0.88800290,2948,5000.38514070
3,0.63602624,0.54531807,1.96934395,1.06025304,3000,5000.08720712
4,0.48697089,0.52439984,1.70411912,0.79502821,2968,5000.74792914
5,0.65667268,0.53611554,1.99528537,1.08619446,2995,5000.01030096
6,0.63998697,0.54635020,1.91745005,1.00835914,3094,5000.20132608
7,0.91369156,0.56335606,2.45178853,1.54269762,3015,5000.14021097
8,0.55800092,0.53009079,1.83991396,0.93082305,2959,5001.98198020
9,0.65850659,0.54411037,2.01110383,1.10201292,2991,5001.59940416
10,0.64974062,0.53729013,2.00473608,1.09564517,2961,5000.19924158
