Metric,Mean,StdDev,CI_Lower,CI_Upper,CI_Width
AvgQ(Lq),0.64990232,0.12245954,0.56230613,0.73749851,0.17519238
Utilization(rho),0.54116688,0.01165222,0.53283197,0.54950180,0.01666983
AvgDelay(W),1.98760891,0.21059780,1.83696679,2.13825104,0.30128424
AvgWait(Wq),1.07851800,0.21059780,0.92787588,1.22916013,0.30128424
rho(theory),0.54545455,,,,
L(theory),1.20000000,,,,
W(theory),2.00000000,,,,
Wq(theory),1.09090909,,,,
Lq(theory),0.65454545,,,,
